bigram,total_count,n_units
the committee,12546,886
the economy,11479,794
funds rate,9795,868
monetary policy,8488,841
the first,7788,661
labor market,7326,673
unemployment rate,7153,723
this year,6871,640
continue to,6790,727
the federal,6752,881
a little,6491,583
the staff,6366,634
u s,6133,641
the past,6114,630
the unemployment,6053,670
growth in,6025,705
the second,5873,613
inflation expectations,5862,745
the next,5717,635
federal funds,5450,851
a lot,5341,395
likely to,5163,774
need to,5162,564
a bit,5084,570
the greenbook,5081,244
to percent,5035,726
the year,5017,667
the labor,4916,593
at least,4896,559
terms of,4792,475
interest rates,4737,671
in terms,4710,462
the same,4708,617
continued to,4633,650
increase in,4630,690
the outlook,4614,743
consistent with,4611,780
the last,4604,440
as well,4576,647
the current,4519,675
end of,4433,613
number of,4257,684
rate of,4153,657
committee s,4137,805
the end,4080,577
of inflation,3934,670
lot of,3913,393
economic activity,3858,784
economic growth,3834,714
gdp growth,3797,477
the risks,3717,719
risks to,3659,725
percent in,3653,571
alternative b,3646,177
pace of,3635,654
of course,3633,402
the dollar,3609,567
decline in,3524,632
the market,3518,493
real gdp,3513,488
the recent,3493,644
the forecast,3478,540
year and,3452,575
the other,3446,466
outlook for,3446,706
level of,3411,675
intermeeting period,3393,741
increases in,3390,643
the economic,3382,767
to see,3357,465
the intermeeting,3355,736
couple of,3349,516
to make,3336,465
a number,3335,671
half of,3333,563
next year,3319,470
in recent,3309,698
a few,3231,593
seems to,3183,384
first quarter,3143,439
near term,3135,680
part of,3113,551
to get,3107,390
the statement,3087,366
more than,3075,596
longer term,3047,683
basis points,3043,515
since the,3039,644
and inflation,3019,686
the inflation,2986,519
the tealbook,2941,149
the data,2916,456
the united,2910,526
during the,2903,617
we need,2899,381
look at,2886,388
financial markets,2885,647
say that,2848,389
last year,2844,492
that inflation,2822,673
this meeting,2806,749
longer run,2796,541
growth and,2789,630
the third,2774,498
like to,2769,388
core inflation,2748,470
measures of,2742,605
labor markets,2741,512
the most,2718,555
change in,2710,577
noted that,2695,617
effects of,2689,639
fourth quarter,2656,453
the fourth,2648,477
the u,2639,577
in fact,2631,407
expected to,2631,676
federal reserve,2606,740
because of,2592,563
percentage point,2590,414
around the,2589,531
to say,2582,388
for example,2578,426
rather than,2568,485
energy prices,2562,543
consumer spending,2560,502
relative to,2555,590
financial conditions,2554,633
seem to,2538,390
in addition,2516,641
to take,2497,450
the funds,2482,374
the pace,2479,591
inflation and,2469,618
prices and,2462,587
united states,2445,487
back to,2435,430
the way,2432,384
continues to,2422,345
a more,2419,578
the financial,2413,492
rise in,2403,591
long term,2383,519
growth of,2383,526
going forward,2372,416
a couple,2336,500
and other,2333,587
about percent,2330,386
the fact,2319,409
second quarter,2318,425
balance sheet,2317,333
the policy,2302,471
of monetary,2301,723
the right,2296,371
given the,2290,504
the national,2283,320
well as,2276,592
to move,2274,511
the table,2273,372
the real,2273,424
fact that,2262,407
suggest that,2260,433
based on,2240,509
the time,2237,538
the risk,2237,515
agree with,2225,375
a good,2214,414
close to,2193,543
most of,2174,474
associated with,2173,584
of percent,2171,505
the near,2171,613
oil prices,2162,380
this point,2159,425
trying to,2151,379
downside risks,2146,560
third quarter,2139,406
the public,2130,399
through the,2126,489
market conditions,2119,605
i agree,2112,371
economic outlook,2109,642
of policy,2103,607
our forecast,2102,296
my view,2098,382
inflation is,2094,370
the downside,2085,498
it seems,2083,377
the future,2079,475
such as,2056,529
economy is,2051,382
on balance,2050,584
the case,2048,426
changes in,2043,547
second half,2039,443
recent months,2031,615
the middle,2013,435
to go,1995,371
in particular,1984,519
the growth,1977,495
in part,1975,619
i see,1975,365
improvement in,1963,445
doesn t,1958,345
in inflation,1953,575
the markets,1952,366
range of,1944,640
core pce,1925,402
last meeting,1925,313
the rate,1918,586
june of,1914,65
labor force,1912,411
the balance,1906,459
shown in,1904,255
a year,1904,471
market participants,1896,511
short term,1893,548
rate is,1890,378
i support,1872,220
kind of,1869,362
see the,1857,406
productivity growth,1853,363
the effects,1850,570
price stability,1829,547
over time,1826,611
to continue,1818,605
a significant,1814,516
is still,1801,359
the language,1798,227
many of,1793,407
signs of,1791,523
declines in,1790,510
at percent,1788,447
response to,1786,575
rate and,1785,536
path of,1784,497
price inflation,1778,478
the question,1772,381
in labor,1769,543
the district,1767,201
try to,1767,367
on inflation,1767,517
some time,1762,553
looking at,1755,368
the possibility,1745,585
the level,1743,541
able to,1742,402
real estate,1741,422
is likely,1724,375
of economic,1722,626
as shown,1721,214
january of,1720,56
long run,1718,484
much of,1716,471
rate in,1705,546
medium term,1701,388
incoming data,1698,542
suggested that,1697,533
percent and,1694,464
pce inflation,1671,327
interest rate,1665,427
the longer,1658,545
we see,1651,353
such a,1640,491
below the,1639,553
pressure on,1635,565
september of,1634,61
the housing,1633,434
appeared to,1632,428
indicated that,1629,595
little bit,1628,209
estimate of,1617,431
to keep,1612,466
inflation in,1606,534
staff s,1605,472
december of,1601,56
period of,1600,515
markets and,1598,527
i also,1586,366
the fed,1563,316
risk of,1558,490
conditions in,1558,586
way to,1547,366
activity in,1546,468
asset purchases,1535,202
didn t,1528,343
suggests that,1514,362
first half,1511,428
respect to,1506,450
the previous,1505,526
said that,1504,371
economy and,1503,504
like the,1502,352
the world,1501,381
in june,1500,302
financial stability,1499,270
with respect,1497,450
the medium,1495,374
a percent,1494,341
would like,1493,350
hard to,1491,373
of labor,1489,487
the target,1481,495
forecast for,1478,389
the bottom,1478,328
in response,1477,534
higher than,1471,451
in january,1468,316
view that,1468,481
quarter of,1468,429
fiscal policy,1464,412
effect on,1461,456
to raise,1459,487
in september,1455,290
appears to,1451,340
the period,1451,596
forward guidance,1449,194
time to,1449,415
appear to,1446,362
be more,1445,452
in december,1443,305
concerned about,1436,421
i thought,1434,351
concerns about,1431,517
while the,1431,543
demand for,1425,461
than expected,1422,481
after the,1420,516
bank of,1419,603
amount of,1419,420
s economy,1410,414
to remain,1406,555
employment and,1405,563
discussion of,1402,735
for inflation,1398,522
our policy,1395,333
between the,1390,424
the upside,1386,460
the potential,1384,515
the fomc,1381,433
regard to,1381,524
value of,1379,516
the extent,1373,503
are still,1372,324
to inflation,1372,463
this time,1371,407
right now,1368,334
a result,1365,482
march of,1363,68
the new,1363,398
chairman thank,1363,236
uncertainty about,1362,473
stock market,1361,340
gains in,1353,456
stance of,1350,580
line with,1344,478
in march,1343,283
in financial,1343,512
even if,1341,400
talk about,1340,331
we expect,1340,301
in line,1337,477
pickup in,1336,444
left panel,1334,175
difficult to,1333,468
growth is,1333,312
term inflation,1332,507
the decline,1331,434
to increase,1330,504
due to,1329,371
with regard,1326,516
percent over,1325,391
assessment of,1323,493
because the,1320,412
two years,1319,406
rates and,1318,481
thinking about,1313,338
participants noted,1312,187
the board,1309,411
because we,1308,350
see a,1305,362
the sep,1303,155
inflation to,1301,486
in light,1301,592
the recovery,1300,312
weakness in,1300,448
light of,1299,589
talking about,1297,332
to come,1292,380
financial market,1290,424
how much,1285,352
little changed,1278,407
natural rate,1275,269
before the,1271,439
percent of,1268,272
even though,1265,422
target range,1257,368
view of,1256,437
data on,1254,464
the long,1254,364
in october,1253,252
because i,1253,336
because it,1253,365
on net,1250,391
much more,1247,360
an increase,1244,470
to rise,1244,492
is now,1240,335
the expansion,1237,446
haven t,1229,311
have seen,1226,310
economic conditions,1225,488
estimates of,1218,400
policy and,1215,477
market and,1215,468
in july,1214,231
agreed that,1211,456
the top,1206,278
lower than,1204,431
something that,1202,346
and financial,1202,505
so far,1202,382
similar to,1201,413
both the,1199,463
rate at,1199,541
policy is,1197,341
of risks,1196,414
balance of,1196,396
aggregate demand,1195,445
policy rate,1194,276
business contacts,1193,375
of new,1193,675
reduction in,1191,468
talked about,1188,332
of financial,1186,424
degree of,1185,495
levels of,1184,474
commodity prices,1182,315
in real,1181,452
d like,1176,299
in consumer,1173,424
regarding the,1172,447
less than,1169,413
the two,1168,416
effect of,1161,393
of uncertainty,1160,425
the lower,1157,368
fed funds,1155,229
the rest,1154,340
in alternative,1153,150
year the,1153,473
in order,1144,407
to expand,1144,477
to put,1143,394
note that,1141,361
and business,1140,442
risk to,1136,364
above the,1135,468
in april,1131,206
quarter and,1130,441
a long,1129,358
past year,1125,405
markets are,1125,338
force participation,1123,319
prices of,1122,431
the path,1120,392
will continue,1118,332
the price,1118,384
a large,1118,393
return to,1117,386
t see,1116,328
retail sales,1115,384
inflation will,1114,299
below percent,1114,360
in other,1113,423
rest of,1111,333
make a,1109,347
the euro,1107,334
inflation was,1106,454
sense of,1106,345
the point,1105,347
of growth,1105,402
risk that,1104,452
of last,1104,367
are now,1100,307
in contrast,1099,434
the percent,1098,351
an important,1098,395
we get,1097,348
point to,1096,384
to support,1096,493
equity prices,1089,444
the nation,1083,276
the increase,1081,449
the effect,1075,360
indicate that,1070,404
strength in,1069,404
i expect,1068,255
evidence of,1067,424
conditions and,1067,483
lead to,1067,431
forecast is,1066,295
the minutes,1064,178
in paragraph,1063,113
ve seen,1063,270
not sure,1063,329
sort of,1063,304
wouldn t,1061,290
basis point,1061,273
november of,1060,32
possibility that,1059,474
alternative a,1058,131
bit of,1057,319
the natural,1055,230
related to,1055,429
of real,1054,388
would say,1054,342
to look,1053,346
and more,1053,382
bit more,1050,340
according to,1050,380
order to,1047,394
a question,1046,325
to provide,1046,434
term interest,1045,408
very low,1043,417
a whole,1042,409
august of,1042,41
the appropriate,1041,440
the average,1038,454
labor costs,1035,365
spending and,1034,443
view the,1034,416
my own,1033,308
activity and,1033,493
inflation rate,1032,333
output gap,1031,247
ought to,1030,303
along with,1028,449
euro area,1026,309
i said,1025,321
meeting and,1024,401
fomc meeting,1023,409
turning to,1020,246
the stock,1020,319
despite the,1019,432
won t,1019,321
evidence that,1019,422
let s,1018,325
are likely,1016,333
the discussion,1014,486
our last,1013,251
in energy,1013,398
inflation compensation,1012,354
against the,1011,450
the incoming,1009,391
the more,1009,356
time of,1008,446
the rise,1006,431
in august,1006,215
in both,1005,428
now i,1003,323
greenbook forecast,1001,207
rate to,1000,467
data and,1000,433
the high,999,388
the issue,999,332
of time,998,370
around percent,995,382
support alternative,995,118
a moderate,994,451
although the,994,453
question is,994,326
new york,992,522
range for,992,399
yield curve,990,280
however the,990,467
begin to,989,389
a strong,988,430
a way,987,314
picked up,987,441
same time,984,420
recent data,983,423
the underlying,982,391
meeting i,980,326
is more,980,337
resource utilization,979,407
to change,977,340
outlook and,976,442
whether the,974,363
in november,974,208
chair thank,974,138
as much,969,355
support the,969,360
drop in,968,392
inflation as,968,467
president lacker,967,198
but also,966,365
effects on,964,421
employment growth,963,291
pointed to,962,390
since our,962,274
few years,959,360
in economic,958,484
treasury securities,957,380
saying that,956,329
expectations and,955,485
the overall,955,399
of unemployment,954,304
for economic,953,428
that economic,953,549
only a,950,416
size of,949,374
enough to,947,368
get a,947,333
inflation has,945,292
pace in,940,405
demand and,937,407
take a,937,329
ability to,935,349
the baseline,934,274
next few,934,383
language in,934,198
expect that,934,328
set of,933,324
not only,933,364
seen in,932,356
prices in,931,401
business investment,930,366
percent for,928,345
others have,927,317
the best,924,338
the situation,922,328
the output,921,327
the low,921,368
you thank,920,244
earlier in,920,431
the global,918,287
stronger than,917,365
be able,917,316
slowdown in,915,354
commercial real,915,347
next meeting,913,276
a time,912,416
whether we,912,305
annual rate,912,260
the strength,910,373
the red,910,179
is also,910,314
concerned that,908,397
willing to,908,321
the business,906,361
of alternative,905,182
prices are,905,259
a big,904,312
wage growth,903,217
little more,903,338
compared with,902,326
the view,902,442
the region,901,202
context of,901,427
our district,900,199
this morning,900,304
payroll employment,899,427
isn t,898,296
high tech,897,264
some point,897,392
projected to,897,402
important to,897,363
tend to,896,406
of consumer,894,398
forecast of,893,305
indicators of,893,427
developments in,893,429
time and,892,381
the fiscal,892,235
other hand,892,354
the june,890,233
reserve bank,889,506
of business,884,415
the employment,879,383
side of,879,328
the core,878,315
the median,876,218
wanted to,874,327
policy in,874,410
better than,871,354
the meeting,870,389
the size,869,326
to improve,867,365
appropriate to,867,409
possibility of,865,440
in europe,865,269
to maintain,865,499
i continue,864,278
year ago,863,284
factors that,863,413
inflation pressures,860,445
and percent,859,305
meeting the,858,450
october of,858,41
continuing to,858,420
slowing in,857,356
sense that,857,331
alternative c,856,131
be appropriate,854,399
national economy,854,198
a further,853,431
of years,853,328
a great,852,338
in many,852,407
policy accommodation,850,325
i hope,848,307
readings on,848,414
see that,848,322
too much,847,320
of potential,847,362
to grow,846,357
capital spending,846,294
a small,845,391
six months,845,301
the country,844,355
we also,843,299
path for,842,362
moved up,841,374
including the,840,438
price increases,840,288
closer to,840,349
months and,840,449
cost of,840,342
most recent,839,337
a substantial,837,384
the bank,836,307
away from,836,312
forecast period,836,263
that said,835,303
the only,831,329
strength of,831,371
not yet,830,387
low inflation,830,319
time i,829,326
expectations of,829,426
the range,829,336
a modest,827,388
the context,827,406
pointed out,827,356
market is,826,298
the information,824,522
inflation outlook,820,351
a change,820,350
comfortable with,820,280
growth has,818,262
net exports,818,322
years and,818,358
beginning to,817,334
we continue,817,271
to give,817,316
to reduce,816,389
to try,814,293
to use,812,296
staff forecast,812,373
downside risk,812,313
forecast and,808,303
in february,808,194
the beginning,807,371
you look,807,233
result of,807,381
suggesting that,806,433
of capital,806,341
question of,805,313
the reason,805,314
we saw,804,284
year in,803,347
the expected,803,405
april of,803,24
participation rate,802,288
the uncertainty,802,344
measure of,802,352
the basis,801,321
well below,800,361
