date,sequence,doctype,section,text
20150128,0,MINUTES,STAFF_ECSIT,"Staff Review of the Economic Situation The information reviewed for the January 27-28 meeting indicated that economic activity expanded at a solid pace over the second half of 2014, and that labor market conditions had again improved in recent months. Consumer price inflation moved further below the FOMC's longer-run objective of 2 percent, held down by continuing large decreases in energy prices. While longer-term market-based measures of inflation compensation declined substantially in recent months, survey measures of longer-run inflation expectations remained stable."
20150128,1,MINUTES,STAFF_ECSIT,"Total nonfarm payroll employment expanded in December and the gains for October and November were revised up, putting the increase for the fourth quarter above that for the third quarter. The unemployment rate declined to 5.6 percent in December, the labor force participation rate decreased, and the employment-to-population rate was unchanged. The share of workers employed part time for economic reasons declined. The rate of private-sector job openings moved up in November, while the rates of hiring and of quits edged down but remained well above their year-earlier readings."
20150128,2,MINUTES,STAFF_ECSIT,"Industrial production rose at a robust pace in the fourth quarter, with a strong increase in manufacturing output and a modest gain in mining output. Automakers' assembly schedules for the first quarter and broader indicators of manufacturing production, such as the readings on new orders from national and regional manufacturing surveys, generally pointed to moderate gains in factory output early this year. In contrast, some indicators of mining activity, such as counts of drilling rigs in operation, weakened, presumably reflecting the recent sharp declines in energy prices."
20150128,3,MINUTES,STAFF_ECSIT,"Real personal consumption expenditures (PCE) appeared to have risen at a robust pace over the second half of 2014. Data on spending in the third quarter were revised up, and the components of nominal retail sales used to construct estimates of PCE rose briskly in the fourth quarter. Light motor vehicle sales in the fourth quarter maintained their robust third-quarter pace. Important factors influencing household spending remained supportive of further solid gains in real PCE early this year. Real disposable personal income increased in November; since then, continued declines in energy prices likely raised the purchasing power of households' incomes. Households' net worth likely increased as home values and equity prices advanced, and consumer sentiment, as measured by the Thomson Reuters/University of Michigan Surveys of Consumers, moved up in early January to its highest level in more than a decade."
20150128,4,MINUTES,STAFF_ECSIT,"The pace of housing market activity improved somewhat but remained slow. Starts of new single-family homes increased in December to their highest level since 2008, and permits for new construction also moved higher. Starts of multifamily units were unchanged in December and within the range they have been in for the past year. Sales of new homes increased, on net, in November and December, while sales of existing homes declined, on average, over those two months."
20150128,5,MINUTES,STAFF_ECSIT,"Real private expenditures for business equipment and intellectual property appeared to decelerate in the fourth quarter. Nominal orders and shipments of nondefense capital goods, excluding aircraft, declined in November and December. Moreover, the level of new orders for these capital goods was only a little above that for shipments, which pointed to modest near-term gains in business equipment spending despite relatively positive readings on business conditions from national and regional surveys. Firms' nominal spending for nonresidential structures edged down in November but remained higher than in the third quarter."
20150128,6,MINUTES,STAFF_ECSIT,"Real federal government purchases appeared likely to have decreased sharply in the fourth quarter, reversing much of the surprisingly strong increase in the third quarter. Real state and local government purchases were rising modestly in the fourth quarter, as nominal construction expenditures for October and November were little changed, on net, and the payrolls of these governments increased somewhat."
20150128,7,MINUTES,STAFF_ECSIT,"The U.S. international trade deficit narrowed substantially in November, with imports declining more than exports. The decrease in the value of imports stemmed in large part from a reduction in the value of petroleum imports, reflecting both lower prices and volumes. However, many other categories of goods imports were also weaker. Export declines were concentrated in capital goods, particularly aircraft. Despite the narrowing of the nominal trade deficit in November, real net exports appeared to be on track to decline in the fourth quarter after adding considerably to real gross domestic product (GDP) growth in the third quarter."
20150128,8,MINUTES,STAFF_ECSIT,"Total U.S. consumer prices, as measured by the PCE price index, increased 1-1/4 percent over the 12 months ending in November, while core prices, as measured by PCE prices excluding food and energy, rose about 1-1/2 percent; consumer energy prices declined, and consumer food prices increased faster than overall prices. Over the 12 months ending in December, total inflation as measured by the consumer price index (CPI) was 3/4 percent, while core CPI inflation was 1-1/2 percent. Over the 3 months ending in December, the total CPI decreased at an annual rate of 2-1/2 percent, reflecting recent declines in consumer energy prices, and the core CPI increased at a 1 percent pace. Measures of expected long-run inflation from a variety of surveys, including the Michigan survey and the Desk's Survey of Primary Dealers, remained stable. In contrast, market-based measures of inflation compensation 5 to 10 years ahead declined further. Over the 12 months ending in December, nominal average hourly earnings for all employees increased only slightly faster than core consumer price inflation."
20150128,9,MINUTES,STAFF_ECSIT,"Foreign real GDP growth appeared to increase slightly in the fourth quarter. In the euro area, retail sales, car registrations, and industrial production through November were above their third-quarter averages, and in Japan, strengthening consumption and exports suggested a recovery of output after two quarters of contraction. However, growth slowed in China, partly reflecting further moderation in residential investment, and declining construction activity also contributed to slowing GDP growth in Korea and the United Kingdom. Inflation in the advanced foreign economies declined sharply at the end of last year, amid rapidly falling energy prices. By contrast, inflation in the emerging market economies fell only modestly, as several of these economies have government-administered energy prices and some have been experiencing upward price pressures from currency depreciations."
