bigram,total_count,n_units
the committee,12565,881
the economy,11563,789
funds rate,9800,863
monetary policy,8557,836
the first,7825,656
labor market,7395,668
unemployment rate,7220,718
this year,6919,635
continue to,6874,722
the federal,6759,876
a little,6554,578
the staff,6384,629
u s,6261,637
the past,6198,625
the unemployment,6111,665
growth in,6077,700
inflation expectations,5920,740
the second,5896,608
the next,5780,630
federal funds,5453,847
a lot,5399,390
likely to,5209,769
need to,5192,559
a bit,5112,565
the greenbook,5083,245
to percent,5070,721
the year,5046,662
the labor,4961,589
at least,4940,554
terms of,4838,470
in terms,4756,457
the same,4754,612
interest rates,4750,666
increase in,4657,685
the outlook,4653,738
consistent with,4649,776
continued to,4643,649
the last,4633,435
as well,4620,642
the current,4559,670
end of,4443,608
number of,4298,679
rate of,4170,652
committee s,4140,802
the end,4123,572
of inflation,3963,665
lot of,3953,388
economic growth,3886,709
economic activity,3875,780
gdp growth,3837,474
the risks,3735,714
percent in,3693,566
risks to,3684,720
of course,3676,397
pace of,3661,649
alternative b,3646,177
the dollar,3634,562
decline in,3560,627
real gdp,3543,487
the recent,3529,639
the market,3529,488
the forecast,3508,536
outlook for,3479,701
year and,3474,571
the other,3471,461
level of,3444,670
intermeeting period,3417,736
increases in,3413,641
the economic,3403,762
couple of,3383,511
the intermeeting,3380,731
to see,3380,460
to make,3367,460
a number,3362,666
half of,3353,560
next year,3348,466
in recent,3334,694
a few,3257,588
seems to,3205,379
near term,3162,676
first quarter,3149,440
to get,3130,385
part of,3130,546
more than,3097,593
the statement,3087,365
since the,3068,640
longer term,3062,678
basis points,3050,510
the tealbook,3039,144
and inflation,3037,681
the inflation,3019,514
the united,2953,522
the data,2943,452
during the,2942,612
look at,2914,383
we need,2911,376
financial markets,2903,642
say that,2866,384
last year,2860,490
that inflation,2835,668
growth and,2815,626
this meeting,2810,744
the third,2808,493
longer run,2798,537
core inflation,2797,465
like to,2785,384
measures of,2766,600
the most,2751,550
labor markets,2749,509
change in,2724,572
effects of,2710,634
the u,2700,573
noted that,2699,616
fourth quarter,2671,453
the fourth,2664,474
in fact,2653,402
expected to,2644,673
percentage point,2626,412
because of,2612,558
for example,2611,421
federal reserve,2610,736
around the,2607,526
to say,2597,383
rather than,2587,480
consumer spending,2580,499
energy prices,2578,540
financial conditions,2573,628
relative to,2570,585
seem to,2561,386
in addition,2533,636
to take,2522,445
the pace,2497,587
prices and,2487,582
inflation and,2484,613
the funds,2484,370
united states,2484,483
back to,2454,425
continues to,2454,341
the way,2445,379
a more,2443,573
the financial,2436,487
rise in,2430,587
going forward,2400,411
long term,2399,514
growth of,2395,529
about percent,2356,386
and other,2356,582
a couple,2353,495
the fact,2351,404
balance sheet,2326,328
second quarter,2324,426
given the,2317,499
of monetary,2315,718
the policy,2312,466
the right,2307,366
the national,2306,322
well as,2294,587
fact that,2293,402
the real,2288,422
the table,2287,367
to move,2286,506
suggest that,2279,428
based on,2260,505
the risk,2253,510
the time,2249,533
agree with,2240,370
a good,2227,409
oil prices,2211,378
close to,2203,538
of percent,2190,500
the near,2190,609
most of,2189,470
this point,2184,420
associated with,2184,580
trying to,2167,374
third quarter,2160,401
downside risks,2154,555
through the,2149,485
market conditions,2135,602
the public,2133,396
our forecast,2126,293
i agree,2125,366
economic outlook,2115,638
inflation is,2111,365
my view,2111,377
of policy,2106,603
the downside,2105,496
it seems,2097,372
the future,2091,471
such as,2075,525
economy is,2068,377
the case,2064,421
changes in,2061,542
on balance,2054,581
recent months,2047,613
second half,2044,440
the middle,2031,434
in particular,2017,514
to go,2001,366
the growth,1995,493
i see,1990,360
in part,1983,614
improvement in,1977,442
in inflation,1976,570
doesn t,1968,340
the markets,1962,361
range of,1954,636
last meeting,1947,308
core pce,1936,400
labor force,1931,411
the rate,1922,584
a year,1920,469
the balance,1915,456
june of,1913,64
shown in,1911,252
short term,1909,544
market participants,1905,507
rate is,1901,374
kind of,1883,357
see the,1873,401
i support,1872,220
the effects,1866,565
productivity growth,1855,365
over time,1837,607
to continue,1834,600
price stability,1833,545
a significant,1833,512
is still,1820,354
response to,1806,571
at percent,1805,444
many of,1804,402
signs of,1803,521
declines in,1798,508
the language,1798,226
rate and,1792,533
path of,1790,493
try to,1787,362
the question,1787,377
on inflation,1785,512
the district,1784,203
price inflation,1784,481
in labor,1784,540
some time,1782,548
looking at,1770,365
december of,1759,57
the possibility,1757,581
the level,1757,536
real estate,1757,423
able to,1756,397
is likely,1739,372
of economic,1731,621
much of,1731,467
long run,1727,480
as shown,1726,216
rate in,1722,542
medium term,1721,383
january of,1720,56
percent and,1710,459
september of,1708,62
incoming data,1704,538
suggested that,1701,531
pce inflation,1682,323
interest rate,1670,422
we see,1668,349
the longer,1668,541
little bit,1655,204
such a,1651,487
the housing,1649,432
below the,1648,550
pressure on,1648,562
appeared to,1633,429
indicated that,1631,595
estimate of,1629,429
period of,1622,512
inflation in,1621,529
to keep,1619,461
staff s,1612,470
markets and,1606,522
i also,1591,362
risk of,1574,485
conditions in,1571,585
the fed,1568,313
way to,1559,361
activity in,1551,467
asset purchases,1536,199
didn t,1533,338
first half,1527,425
suggests that,1527,357
respect to,1520,445
economy and,1513,499
like the,1513,347
the medium,1513,369
the previous,1512,524
with respect,1510,445
hard to,1508,369
said that,1507,366
in june,1506,301
financial stability,1505,268
the world,1505,378
a percent,1504,339
of labor,1502,488
would like,1501,347
forecast for,1499,386
march of,1499,69
in response,1494,531
higher than,1485,447
the bottom,1484,327
the target,1484,496
view that,1481,476
in january,1480,314
fiscal policy,1477,409
quarter of,1477,427
effect on,1475,452
appear to,1467,358
appears to,1466,336
to raise,1463,485
in september,1463,288
in december,1458,305
time to,1457,411
the period,1454,592
be more,1452,447
forward guidance,1450,192
concerned about,1450,416
i thought,1445,347
concerns about,1442,512
while the,1441,540
amount of,1440,415
demand for,1440,462
than expected,1434,478
s economy,1433,412
after the,1430,512
bank of,1424,603
employment and,1416,560
to remain,1416,551
discussion of,1405,730
for inflation,1405,517
the upside,1404,457
the potential,1399,510
our policy,1399,329
between the,1398,420
are still,1394,319
chairman thank,1391,231
right now,1389,329
regard to,1389,522
the extent,1388,499
the fomc,1386,429
value of,1386,512
to inflation,1385,459
this time,1380,402
uncertainty about,1377,471
a result,1373,481
the new,1367,395
stock market,1367,339
gains in,1360,459
line with,1356,476
even if,1356,395
talk about,1353,326
we expect,1352,296
stance of,1352,577
difficult to,1351,465
in financial,1350,509
in march,1350,282
in line,1349,475
due to,1349,369
growth is,1347,311
pickup in,1345,442
left panel,1343,178
the decline,1342,430
to increase,1338,501
term inflation,1336,504
percent over,1335,389
two years,1334,403
with regard,1334,514
assessment of,1330,489
because the,1329,407
the recovery,1327,307
rates and,1323,476
thinking about,1323,333
inflation to,1316,483
because we,1315,346
see a,1314,357
participants noted,1312,187
the board,1312,407
talking about,1312,327
in light,1307,588
to come,1306,375
light of,1305,585
weakness in,1304,444
the sep,1303,153
financial market,1301,422
how much,1298,348
percent of,1285,272
before the,1283,436
little changed,1281,410
even though,1280,417
natural rate,1277,268
the long,1266,362
data on,1266,462
much more,1265,356
in october,1263,253
view of,1261,432
because i,1258,332
because it,1258,361
target range,1257,368
is now,1256,332
to rise,1255,490
on net,1254,389
an increase,1251,468
the expansion,1244,447
have seen,1241,307
haven t,1240,306
commodity prices,1233,310
estimates of,1231,397
economic conditions,1231,483
policy and,1225,472
market and,1222,466
both the,1219,459
business contacts,1219,377
in july,1214,232
and financial,1213,501
something that,1213,342
similar to,1213,408
agreed that,1211,456
so far,1211,379
policy is,1211,336
lower than,1207,427
the top,1207,277
of risks,1203,411
talked about,1202,328
balance of,1201,394
rate at,1201,538
aggregate demand,1199,442
of financial,1198,420
policy rate,1196,272
levels of,1196,472
reduction in,1195,463
of new,1194,675
in consumer,1190,424
degree of,1190,492
in real,1185,452
d like,1183,295
the two,1177,412
less than,1176,408
regarding the,1174,443
of uncertainty,1172,423
the lower,1166,367
effect of,1166,389
august of,1166,42
the rest,1160,338
year the,1158,472
fed funds,1155,228
and business,1154,440
in order,1154,404
to expand,1153,475
in alternative,1153,150
risk to,1151,360
to put,1150,391
note that,1148,356
a long,1143,355
quarter and,1142,440
above the,1140,465
past year,1135,405
prices of,1133,428
in april,1133,202
force participation,1131,320
the price,1131,384
a large,1130,389
markets are,1128,336
the path,1128,390
below percent,1128,357
will continue,1128,328
retail sales,1125,387
inflation will,1125,294
the euro,1124,335
t see,1124,324
return to,1123,383
in other,1122,418
of growth,1117,400
make a,1116,342
rest of,1116,331
sense of,1116,342
of last,1115,367
the point,1112,342
risk that,1112,449
are now,1111,306
point to,1111,381
an important,1110,392
the percent,1110,350
inflation was,1108,452
to support,1105,488
in contrast,1101,432
we get,1100,345
the nation,1092,278
i expect,1090,252
equity prices,1090,444
the increase,1089,448
the effect,1078,356
indicate that,1077,400
lead to,1075,426
forecast is,1075,293
strength in,1074,404
conditions and,1074,482
wouldn t,1073,285
evidence of,1071,423
ve seen,1070,266
not sure,1069,325
bit of,1068,314
would say,1067,337
sort of,1066,300
the minutes,1065,176
possibility that,1065,471
in paragraph,1063,113
of real,1063,389
basis point,1063,273
to provide,1062,429
according to,1062,376
to look,1062,342
november of,1062,31
related to,1061,425
and more,1060,378
bit more,1059,337
alternative a,1058,131
the natural,1057,228
order to,1055,390
a question,1050,321
term interest,1048,407
a whole,1048,405
very low,1048,414
inflation rate,1048,328
the appropriate,1046,437
spending and,1045,440
the average,1044,451
output gap,1043,244
along with,1041,445
euro area,1040,311
labor costs,1040,364
activity and,1040,490
my own,1039,304
view the,1036,412
are likely,1033,331
our last,1032,247
turning to,1032,242
ought to,1032,300
won t,1030,317
fomc meeting,1029,407
meeting and,1028,397
i said,1028,317
evidence that,1028,419
the stock,1025,317
despite the,1024,431
let s,1021,320
the more,1020,353
the rise,1019,427
in both,1018,426
the discussion,1018,483
in energy,1018,397
the incoming,1018,388
in august,1017,214
time of,1015,443
against the,1014,448
inflation compensation,1014,354
now i,1013,319
of time,1010,366
around percent,1010,379
data and,1008,432
the high,1008,389
question is,1006,322
rate to,1004,466
the issue,1003,330
greenbook forecast,1001,207
a moderate,999,447
although the,998,450
begin to,997,386
a way,996,310
support alternative,995,118
same time,995,416
however the,995,463
the underlying,993,390
new york,993,519
range for,992,399
is more,991,333
a strong,991,428
yield curve,991,279
picked up,989,440
meeting i,988,322
recent data,988,422
in november,984,205
drop in,984,391
resource utilization,984,408
whether the,983,359
as much,980,350
outlook and,978,440
to change,978,335
president lacker,978,193
but also,977,361
support the,976,358
since our,976,272
inflation as,976,463
chair thank,974,138
effects on,973,418
employment growth,972,291
few years,970,357
of unemployment,963,301
only a,963,415
saying that,962,326
the overall,962,397
pointed to,962,388
for economic,962,424
expectations and,961,480
in economic,959,480
treasury securities,958,380
inflation has,958,287
that economic,956,546
enough to,954,364
size of,953,371
get a,952,329
next few,950,380
prices in,948,399
demand and,948,407
not only,947,363
take a,945,325
the baseline,945,276
expect that,944,324
ability to,943,344
set of,941,321
pace in,941,404
the situation,938,325
percent for,935,344
language in,934,198
others have,934,313
seen in,933,355
you thank,933,239
business investment,932,365
the best,931,335
the global,928,287
the output,927,324
annual rate,925,260
earlier in,924,428
be able,924,311
the low,924,368
stronger than,924,364
is also,923,312
in europe,922,265
prices are,922,260
commercial real,921,348
concerned that,919,393
slowdown in,917,353
willing to,916,317
next meeting,916,275
the business,916,358
whether we,915,303
the red,915,180
a time,915,412
the strength,915,370
compared with,914,322
the view,913,439
little more,909,334
a big,909,309
developments in,908,426
this morning,907,306
payroll employment,906,429
context of,906,424
the region,906,204
wage growth,906,219
our district,906,202
isn t,905,292
of alternative,905,182
forecast of,904,304
important to,904,359
tend to,903,404
projected to,902,403
other hand,900,351
the fiscal,900,233
high tech,899,266
of consumer,898,398
time and,898,379
some point,898,388
indicators of,897,426
the core,896,315
the employment,893,381
the june,890,229
reserve bank,890,505
of business,888,415
side of,886,326
better than,884,350
the median,882,219
policy in,879,406
to improve,877,363
wanted to,876,322
i continue,875,274
year ago,874,284
factors that,873,412
the size,872,322
price increases,871,285
the meeting,870,385
possibility of,870,437
sense that,868,326
appropriate to,867,408
to maintain,867,498
and percent,865,303
inflation pressures,864,446
continuing to,864,419
meeting the,862,448
slowing in,861,357
of years,860,327
october of,860,42
a further,858,429
national economy,858,200
a great,856,335
alternative c,856,131
readings on,856,417
a small,855,391
in many,855,404
policy accommodation,854,320
too much,854,318
be appropriate,854,398
i hope,854,303
the country,853,357
of potential,853,359
most recent,852,336
six months,852,299
see that,852,319
capital spending,851,297
we also,850,296
months and,849,447
to grow,849,357
that said,849,298
path for,848,361
closer to,846,348
not yet,846,385
cost of,845,343
moved up,845,373
including the,844,433
away from,842,307
the bank,841,304
forecast period,841,265
a substantial,840,382
the only,839,326
inflation outlook,837,349
expectations of,836,423
pointed out,836,356
time i,834,322
market is,834,297
low inflation,834,319
strength of,833,370
the context,832,404
the range,830,333
a modest,829,385
we continue,829,269
net exports,828,323
to try,828,288
the information,827,521
downside risk,825,311
growth has,825,258
a change,824,349
you look,823,228
comfortable with,822,279
beginning to,821,333
years and,821,355
to reduce,821,387
to give,820,315
to use,820,292
we saw,819,284
in oil,815,279
in february,815,194
staff forecast,814,375
result of,812,380
question of,812,310
the beginning,812,369
forecast and,811,300
measure of,809,352
suggesting that,809,429
the uncertainty,809,343
of capital,809,342
year in,809,349
the reason,806,310
well below,805,358
pick up,805,363
the expected,804,402
april of,803,24
participation rate,803,289
the basis,802,321
rates in,802,401
president evans,801,190
the short,799,297
the members,799,275
prices have,798,246
your recommendation,798,91
lower bound,797,204
the number,797,368
job growth,796,253
can see,795,266
the march,794,229
the central,794,255
thought that,793,384
a risk,793,333
about inflation,791,288
raise the,791,373
growth rate,790,295
in place,790,329
my forecast,789,189
housing market,789,298
