date,parsed_rows,acosta_rows,row_count_diff,section_agreement,first_mismatch_row
20150128,59,53,6,1.0,
20150318,54,51,3,1.0,
20150429,54,50,4,1.0,
20150617,62,57,5,1.0,
20150729,66,63,3,1.0,
20150917,58,54,4,0.9815,51.0
20151028,63,61,2,0.9836,54.0
20151216,65,63,2,1.0,
20160127,61,55,6,1.0,
20160316,64,61,3,0.9836,54.0
20160427,66,62,4,0.9839,56.0
20160615,64,61,3,1.0,
20160727,71,68,3,0.9853,60.0
20160921,70,67,3,0.9851,56.0
20161102,70,67,3,0.9851,58.0
20161214,69,64,5,1.0,
20170201,65,61,4,1.0,
20170315,64,62,2,0.9839,53.0
20170503,68,66,2,1.0,
20170614,66,65,1,0.9846,55.0
20170726,63,60,3,1.0,
20170920,70,68,2,1.0,
20171101,64,62,2,1.0,
20171213,63,62,1,0.9839,52.0
20180131,62,60,2,1.0,
20180321,59,57,2,1.0,
20180502,60,58,2,1.0,
20180613,62,60,2,1.0,
20180801,69,67,2,1.0,
20180926,65,63,2,1.0,
20181108,61,59,2,0.7458,43.0
20181219,65,63,2,0.7778,46.0
