date,section_group,n_transcript_sentences,n_minutes_sentences,semantic_recall,semantic_precision
19950201,ECON,638,121,0.45091447,0.58508396
19950328,ECON,536,117,0.45184958,0.57977706
19950523,ECON,591,113,0.44828686,0.5754749
19950706,ECON,716,121,0.44809082,0.5836077
19950822,ECON,657,109,0.4311427,0.568041
19950926,ECON,738,106,0.42070988,0.57861423
19951115,ECON,779,96,0.42798337,0.56150174
19951219,ECON,610,112,0.45495665,0.58025235
19960131,ECON,608,122,0.46663475,0.5765804
19960326,ECON,505,107,0.4607117,0.5686714
19960521,ECON,658,99,0.45199233,0.57795876
19960703,ECON,1560,93,0.41269445,0.57546884
19960820,ECON,692,78,0.449415,0.5717919
19960924,ECON,579,106,0.47639203,0.5791034
19961113,ECON,647,106,0.4525782,0.58424354
19961217,ECON,536,106,0.4552806,0.5645625
19970205,ECON,657,103,0.4659009,0.57946295
19970325,ECON,577,106,0.4696102,0.59746194
19970520,ECON,624,100,0.46373376,0.58578575
19970702,ECON,897,110,0.43578795,0.5907683
19970819,ECON,603,104,0.46742138,0.58718354
19970930,ECON,757,94,0.45575222,0.59241337
19971112,ECON,871,88,0.44962505,0.6044334
19971216,ECON,769,88,0.43738976,0.5822878
19980204,ECON,921,114,0.48303005,0.59429616
19980331,ECON,872,90,0.45065448,0.5956866
19980519,ECON,990,100,0.4533271,0.59379745
19980701,ECON,1618,112,0.44994673,0.6201259
19980818,ECON,836,108,0.45671532,0.590939
19980929,ECON,764,109,0.46515915,0.6021994
19981117,ECON,668,125,0.4634163,0.59171927
19981222,ECON,646,98,0.4535374,0.586968
19990203,ECON,981,108,0.44848278,0.58839667
19990330,ECON,739,110,0.46580276,0.5965787
19990518,ECON,743,106,0.4457581,0.57740265
19990630,ECON,910,103,0.45161322,0.6118984
19990824,ECON,621,104,0.4643308,0.5832647
19991005,ECON,730,103,0.4657195,0.60285777
19991116,ECON,668,110,0.46486276,0.5761508
19991221,ECON,599,100,0.44193488,0.56965554
20000202,ECON,989,100,0.4458675,0.5970107
20000321,ECON,690,93,0.44484484,0.5922147
20000516,ECON,832,99,0.45075193,0.5829589
20000628,ECON,363,102,0.457728,0.55640876
20000822,ECON,724,113,0.4781018,0.6048615
20001003,ECON,736,92,0.46842313,0.6014706
20001115,ECON,870,113,0.48771176,0.62059885
20001219,ECON,822,109,0.4693817,0.6025424
20010131,ECON,1055,120,0.46373302,0.618122
20010320,ECON,969,108,0.45509422,0.603687
20010515,ECON,965,114,0.47176543,0.61596453
20010627,ECON,1955,112,0.44215995,0.61387193
20010821,ECON,855,110,0.47333038,0.61222506
20011002,ECON,863,119,0.462157,0.5946286
20011106,ECON,948,100,0.4596753,0.60622215
20011211,ECON,910,108,0.46639216,0.60362774
20020130,ECON,1097,114,0.4568468,0.60959184
20020319,ECON,804,113,0.47165135,0.5938798
20020507,ECON,836,106,0.45664802,0.5949892
20020626,ECON,955,107,0.4608543,0.596769
20020813,ECON,876,104,0.45122582,0.59499717
20020924,ECON,955,91,0.44787633,0.6139486
20021106,ECON,1069,101,0.4477037,0.6076139
20021210,ECON,948,94,0.4456385,0.5948903
20030129,ECON,1215,103,0.4477583,0.6056274
20030318,ECON,944,100,0.45574653,0.5826761
20030506,ECON,961,109,0.4513612,0.5852315
20030625,ECON,1046,108,0.46170503,0.60076016
20030812,ECON,1336,102,0.42947182,0.6091325
20030916,ECON,929,111,0.47279888,0.6029617
20031028,ECON,950,101,0.45913243,0.5994607
20031209,ECON,1169,103,0.459857,0.6086449
20040128,ECON,1147,124,0.47037694,0.61185867
20040316,ECON,953,113,0.45881346,0.59340155
20040504,ECON,886,131,0.48211202,0.5939165
20040630,ECON,1252,112,0.46905282,0.6239293
20040810,ECON,842,111,0.46797577,0.5926824
20040921,ECON,932,117,0.44242007,0.59227884
20041110,ECON,906,92,0.46534124,0.607245
20041214,ECON,1258,96,0.43046018,0.6172051
20050202,ECON,947,97,0.47155613,0.6066683
20050322,ECON,971,124,0.47498482,0.6128405
20050503,ECON,971,108,0.47198796,0.6123213
20050630,ECON,1301,109,0.44834784,0.6101669
20050809,ECON,1196,96,0.43271396,0.6097338
20050920,ECON,1051,100,0.4715812,0.5907111
20051101,ECON,1033,108,0.442925,0.59748304
20051213,ECON,1294,94,0.41663983,0.6077309
20060131,ECON,802,101,0.4593643,0.61041564
20060328,ECON,1346,126,0.4480124,0.6095628
20060510,ECON,1043,136,0.47624856,0.6130432
20060629,ECON,1285,112,0.4666865,0.6155619
20060808,ECON,1061,107,0.4811486,0.6250316
20060920,ECON,1218,122,0.46960664,0.5980239
20061025,ECON,1078,129,0.47560865,0.60894895
